Manufacturer;Supplier;SKU;NAME;PRICE;PURCHASE;TAGS;META TITLE;META KEYWORDS;VAT;URL REWRITE
Armytrix;Armytrix;CZ6C8-DDC;"CORVETTE C8 
STINGRAY ARMYTRIX CERAMIC COATED DE-CATTED PIPES";1550;775;Armytrix,CZ6C8-DDC,EXHAUST;"CORVETTE C8 
STINGRAY ARMYTRIX CERAMIC COATED DE-CATTED PIPES";Armytrix,CZ6C8-DDC,EXHAUST;7;ArmytrixCZ6C8-DDC
Armytrix;Armytrix;CZ6C8-CDC;"CORVETTE C8 
STINGRAY ARMYTRIX CERAMIC COATED SPORT CAT PIPES WITH 200 CPSI CATALYTIC CONVERTER";2550;1275;Armytrix,CZ6C8-CDC,EXHAUST;"CORVETTE C8 
STINGRAY ARMYTRIX CERAMIC COATED SPORT CAT PIPES WITH 200 CPSI CATALYTIC CONVERTER";Armytrix,CZ6C8-CDC,EXHAUST;7;ArmytrixCZ6C8-CDC
Armytrix;Armytrix;FF355-CQC;F355 ARMYTRIX EXHAUST SYSTEM W/NO TIPS;4290;2145;Armytrix,FF355-CQC,EXHAUST;F355 ARMYTRIX EXHAUST SYSTEM W/NO TIPS;Armytrix,FF355-CQC,EXHAUST;7;ArmytrixFF355-CQC
Armytrix;Armytrix;FF355-CQM;F356 ARMYTRIX EXHAUST SYSTEM W/NO TIPS;4580;2290;Armytrix,FF355-CQM,EXHAUST;F356 ARMYTRIX EXHAUST SYSTEM W/NO TIPS;Armytrix,FF355-CQM,EXHAUST;7;ArmytrixFF355-CQM
Armytrix;Armytrix;FF355-DD;F357 ARMYTRIX HIGH-FLOW PERFORMANCE DE-CATTED PIPE;690;345;Armytrix,FF355-DD,EXHAUST;F357 ARMYTRIX HIGH-FLOW PERFORMANCE DE-CATTED PIPE;Armytrix,FF355-DD,EXHAUST;7;ArmytrixFF355-DD
Armytrix;Armytrix;FF355-DDC;F358 ARMYTRIX CERAMIC COATED HIGH-FLOW PERFORMANCE DE-CATTED PIPE;1080;540;Armytrix,FF355-DDC,EXHAUST;F358 ARMYTRIX CERAMIC COATED HIGH-FLOW PERFORMANCE DE-CATTED PIPE;Armytrix,FF355-DDC,EXHAUST;7;ArmytrixFF355-DDC
Armytrix;Armytrix;FFCA1-C;CALIFORNIA 08-13 (4.3L) ARMYTRIX TITANIUM EXHAUST SYSTEM W/NO TIPS;5980;2990;Armytrix,FFCA1-C,EXHAUST;CALIFORNIA 08-13 (4.3L) ARMYTRIX TITANIUM EXHAUST SYSTEM W/NO TIPS;Armytrix,FFCA1-C,EXHAUST;7;ArmytrixFFCA1-C
Armytrix;Armytrix;FFCA1-DDC;CALIFORNIA 08-13 (4.3L) ARMYTRIX CERAMIC COATED HIGH-FLOW PERFORMANCE DE-CATTED PIPE ;1680;840;Armytrix,FFCA1-DDC,EXHAUST;CALIFORNIA 08-13 (4.3L) ARMYTRIX CERAMIC COATED HIGH-FLOW PERFORMANCE DE-CATTED PIPE ;Armytrix,FFCA1-DDC,EXHAUST;7;ArmytrixFFCA1-DDC
Armytrix;Armytrix;FS458-C;458 ITALIA / SPIDER ARMYTRIX EXHAUST SYSTEM W/NO TIPS;5580;2790;Armytrix,FS458-C,EXHAUST;458 ITALIA / SPIDER ARMYTRIX EXHAUST SYSTEM W/NO TIPS;Armytrix,FS458-C,EXHAUST;7;ArmytrixFS458-C
Armytrix;Armytrix;FF458-C;458 ITALIA / SPIDER ARMYTRIX TITANIUM EXHAUST SYSTEM W/NO TIPS;8280;4140;Armytrix,FF458-C,EXHAUST;458 ITALIA / SPIDER ARMYTRIX TITANIUM EXHAUST SYSTEM W/NO TIPS;Armytrix,FF458-C,EXHAUST;7;ArmytrixFF458-C
