Tipo Doc.;N.º Doc.;Refª Cliente;Data;Cliente;Contribuinte;País;Zona geográfica;Vendedor;Método de Pagamento;Valor Pgto.;Comissão Pgto.;Cód. Artigo;Código EAN;Artigos;Qtd.;Uni.;Preço unitário sem IVA;Total Artigo;Total Ilíq.;Desc.;Total Liq.;Impostos;Desc. Financeiro;Total;Acumulado;Local de Descarga;Observações
Fatura-Recibo;2024IE/19;;03/06/2024;Unitherm Heating systems;IE6412845H;Irlanda;;;;;;ATINTHON02-BK;;Airtec Intercooler with piping for Honda Civic Type R FK2 - Color : Black;1;Uni.;757,01;757,01;757,01;0;757,01;0;0;757,01;823,68;;
Fatura-Recibo;2024IE/19;;03/06/2024;Unitherm Heating systems;IE6412845H;Irlanda;;;;;;FMTUBL7;;Forge Motorsport Turbo Blanket for Civic Type R FK2;1;Uni.;110,42;110,42;110,42;0;110,42;0;0;110,42;934,1;;
Fatura-Recibo;2024IE/19;;03/06/2024;Unitherm Heating systems;IE6412845H;Irlanda;;;;;;EVE-FK2-CF-CHG;;Honda Civic Type R FK2 Eventuri Carbon Fiber Turbo Inlet Tube;1;Uni.;658,33;658,33;658,33;0;658,33;0;0;658,33;1592,43;;
Fatura-Recibo;2024IE/19;;03/06/2024;Unitherm Heating systems;IE6412845H;Irlanda;;;;;;Portes;;Custo de Portes;1;Uni.;20;20;20;0;20;0;0;20;1612,43;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024SE/22;;03/06/2024;Christopher Högfeldt;SE999999990;Suécia;;;Transferência Bancária;114,99;---;;;;;;;;91,99;0;91,99;23;0;114,99;3053,51;Sveavägen 115;
Fatura-Recibo;2024SE/22;;03/06/2024;Christopher Högfeldt;SE999999990;França;;;;;;R13-10-2;;BMW 235i / 240i F22 Acexxon Honeycomb Rear Reflector Deletes;1;Uni.;79,992;79,99;79,99;0;79,99;20;0;99,99;99,99;;
Fatura-Recibo;2024SE/22;;03/06/2024;Christopher Högfeldt;SE999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;12;12;12;0;12;3;0;15;114,99;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024FI/28;;03/06/2024;Jorma Finnberg;FI999999990;Finlândia;;;Transferência Bancária;169,99;---;;;;;;;;137,09;0;137,09;32,9;0;169,99;3223,5;Reserviläisentie 6 0400201500;
Fatura-Recibo;2024FI/28;;03/06/2024;Jorma Finnberg;FI999999990;França;;;;;;MS100208-4;;APR Red Coil Packs for S3 8P / Golf 5 - 6 GTI / Golf 6 R / Leon 2 Cupra 2.0 TFSI EA113 / EA888.1;1;Uni.;120,95968;120,96;120,96;0;120,96;29,03;0;149,99;149,99;;
Fatura-Recibo;2024FI/28;;03/06/2024;Jorma Finnberg;FI999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;16,12903;16,13;16,13;0;16,13;3,87;0;20;169,99;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024HR/40;;03/06/2024;Matija Topolovec;HR999999990;Croácia;;;Transferência Bancária;160,08;---;;;;;;;;128,06;0;128,06;32,02;0;160,08;3383,58;MadŽarevo 280 0977990056;
Fatura-Recibo;2024HR/40;;03/06/2024;Matija Topolovec;HR999999990;França;;;;;;PST78;;Toyota Yaris GR Tanabe Rear Strut Tower Bar;1;Uni.;112,064;112,06;112,06;0;112,06;28,02;0;140,08;140,08;;
Fatura-Recibo;2024HR/40;;03/06/2024;Matija Topolovec;HR999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;16;16;16;0;16;4;0;20;160,08;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024LU/41;;03/06/2024;Arunas Atkociunas;LU999999990;Luxemburgo;;;Transferência Bancária;82,96;---;;;;;;;;70,91;0;70,91;12,05;0;82,96;3466,54;Haaptstrooss 11,;
Fatura-Recibo;2024LU/41;;03/06/2024;Arunas Atkociunas;LU999999990;França;;;;;;SILZKBR8D8S-6;;NGK SILZKBR8D8S Spark Plugs for BMW M3 F80 / M4 F8x / M2 Comp F87;1;Uni.;64,06838;64,07;64,07;0;64,07;10,89;0;74,96;74,96;;
Fatura-Recibo;2024LU/41;;03/06/2024;Arunas Atkociunas;LU999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;6,83761;6,84;6,84;0;6,84;1,16;0;8;82,96;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024LU/42;;03/06/2024;chaudoye metaal;LU29549212;Luxemburgo;;;Card;495,73;---;;;;;;;;495,73;0;495,73;0;0;495,73;3962,27;allies 14;
Fatura-Recibo;2024LU/42;;03/06/2024;chaudoye metaal;LU29549212;Luxemburgo;;;;;;AC-WS-NI-15;;Elargisseurs de voies 15 ou 20mm Alpha Competition pour Nissan S14 / 350Z / 370Z / GTR - Epaisseur : 15mm;2;Uni.;52,49;104,98;104,98;0;104,98;0;0;104,98;104,98;;
Fatura-Recibo;2024LU/42;;03/06/2024;chaudoye metaal;LU29549212;Luxemburgo;;;;;;FMINDR35;;Admission Forge Motorsport pour Nissan R35 GTR;1;Uni.;382,75;382,75;382,75;0;382,75;0;0;382,75;487,73;;
Fatura-Recibo;2024LU/42;;03/06/2024;chaudoye metaal;LU29549212;Luxemburgo;;;;;;Portes;;Custo de Portes;1;Uni.;8;8;8;0;8;0;0;8;495,73;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024DE/68;;03/06/2024;Alex Czaplicki;DE999999990;Alemanha;;;Transferência Bancária;336,77;---;;;;;;;;283;0;283;53,77;0;336,77;4299,04;Ziegeleiweg 10;
Fatura-Recibo;2024DE/68;;03/06/2024;Alex Czaplicki;DE999999990;França;;;;;;CTS-IT-300R;;CTS Turbo Intake for Audi S5 8T  and Audi S4 B8 / B8.5 3.0 TFSI;1;Uni.;276,27731;276,28;276,28;0;276,28;52,49;0;328,77;328,77;;
Fatura-Recibo;2024DE/68;;03/06/2024;Alex Czaplicki;DE999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;6,72269;6,72;6,72;0;6,72;1,28;0;8;336,77;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024DE/69;;03/06/2024;Kenny Dunavant;DE999999990;Alemanha;;;Transferência Bancária;215,83;---;;;;;;;;181,37;0;181,37;34,46;0;215,83;4514,87;Peuntring 9;
Fatura-Recibo;2024DE/69;;03/06/2024;Kenny Dunavant;DE999999990;França;;;;;;MMBCC-BRZ-13PBE;;Subaru BRZ / Toyota GT86 Mishimoto Baffled Oil Catch Can;1;Uni.;174,64706;174,65;174,65;0;174,65;33,18;0;207,83;207,83;;
Fatura-Recibo;2024DE/69;;03/06/2024;Kenny Dunavant;DE999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;6,72269;6,72;6,72;0;6,72;1,28;0;8;215,83;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024DE/70;;03/06/2024;Stefan Hilscher;DE999999990;Alemanha;;;Transferência Bancária;181,73;---;;;;;;;;152,71;0;152,71;29,02;0;181,73;4696,6;Inntalstrase 10;
Fatura-Recibo;2024DE/70;;03/06/2024;Stefan Hilscher;DE999999990;França;;;;;;VWR190008;;Varilla del nivel de aceite Racingline para VW UP GTI;1;Uni.;63,40336;63,4;63,4;0;63,4;12,05;0;75,45;75,45;;
Fatura-Recibo;2024DE/70;;03/06/2024;Stefan Hilscher;DE999999990;França;;;;;;VWR190004;;Tapa de aceite Racingline para UP GTI;1;Uni.;82,58824;82,59;82,59;0;82,59;15,69;0;98,28;173,73;;
Fatura-Recibo;2024DE/70;;03/06/2024;Stefan Hilscher;DE999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;6,72269;6,72;6,72;0;6,72;1,28;0;8;181,73;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024DE/71;;03/06/2024;Heini Binggeli;DE999999990;Alemanha;;;Transferência Bancária;405,52;---;;;;;;;;340,77;0;340,77;64,75;0;405,52;5102,12;c/o LAS Burg 56108 Hautstrasse 396;
Fatura-Recibo;2024DE/71;;03/06/2024;Heini Binggeli;DE999999990;França;;;;;;L3P3M58X;;P3 Gauges Digital Vent Gauge for Mini Cooper S R56 - Version : OBD2 Multi Gauge;1;Uni.;334,05042;334,05;334,05;0;334,05;63,47;0;397,52;397,52;;
Fatura-Recibo;2024DE/71;;03/06/2024;Heini Binggeli;DE999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;6,72269;6,72;6,72;0;6,72;1,28;0;8;405,52;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024PL/91;;03/06/2024;JM Jacek Moczulski;PL9570536535;Polónia;;;Card;436,44;---;;;;;;;;436,44;0;436,44;0;0;436,44;5538,56;Przytulna 20A/53;
Fatura-Recibo;2024PL/91;;03/06/2024;JM Jacek Moczulski;PL9570536535;Polónia;;;;;;D650-0003-6;;Dinan Red Coil Packs for BMW 135i / 235i / 335i / M2 / M3 / M4 / M5 - N54, N55, S55, S54;1;Uni.;171,89;171,89;171,89;0;171,89;0;0;171,89;171,89;;
Fatura-Recibo;2024PL/91;;03/06/2024;JM Jacek Moczulski;PL9570536535;Polónia;;;;;;AC-N55-TP;;BMW M2 / 135i / 235i / 335i / 435i N55 Alpha Competition Charge Pipe;1;Uni.;149,99;149,99;149,99;0;149,99;0;0;149,99;321,88;;
Fatura-Recibo;2024PL/91;;03/06/2024;JM Jacek Moczulski;PL9570536535;Polónia;;;;;;FMKT135F20;;Forge Turbo Outlet Hose for BMW 135i / 235i F2x / M2 N55;1;Uni.;99,56;99,56;99,56;0;99,56;0;0;99,56;421,44;;
Fatura-Recibo;2024PL/91;;03/06/2024;JM Jacek Moczulski;PL9570536535;Polónia;;;;;;Portes;;Custo de Portes;1;Uni.;15;15;15;0;15;0;0;15;436,44;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024PL/92;;03/06/2024;SEKTOR-S s.c.;PL8141683531;Polónia;;;Transferência Bancária;457,11;---;;;;;;;;457,11;0;457,11;0;0;457,11;5995,67;Soko?owska 1;
Fatura-Recibo;2024PL/92;;03/06/2024;SEKTOR-S s.c.;PL8141683531;Polónia;;;;;;VWR160001;;RacingLine Turbo Muffler Delete / MQB / EA888.3B 2.0 TSI MAF-sensor cars only;3;Uni.;85,995;257,99;257,99;0;257,99;0;0;257,99;257,99;;
Fatura-Recibo;2024PL/92;;03/06/2024;SEKTOR-S s.c.;PL8141683531;Polónia;;;;;;VWR17G8R600;;RacingLine R600 Coolant UnderHose / MQB EVO / EA888.4 2.0 TSI / All models EXCEPT for Golf mk8 R;2;Uni.;38,22;76,44;76,44;0;76,44;0;0;76,44;334,43;;
Fatura-Recibo;2024PL/92;;03/06/2024;SEKTOR-S s.c.;PL8141683531;Polónia;;;;;;R7437-9;;NGK R7437-9 RACING SPARK PLUG;3;Uni.;35,2277;105,68;105,68;0;105,68;0;0;105,68;440,11;;
Fatura-Recibo;2024PL/92;;03/06/2024;SEKTOR-S s.c.;PL8141683531;Polónia;;;;;;SHIPPING-PL-0-10;;POLAND (0-10KG);1;Uni.;17;17;17;0;17;0;0;17;457,11;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024PL/93;;03/06/2024;SEKTOR-S s.c.;PL8141683531;Polónia;;;Transferência Bancária;178,24;---;;;;;;;;178,24;0;178,24;0;0;178,24;6173,91;Soko?owska 1;
Fatura-Recibo;2024PL/93;;03/06/2024;SEKTOR-S s.c.;PL8141683531;Polónia;;;;;;VWR3130RS;;RacingLine Sports Spring Kit / MQB / Audi S3 & RS3 8V 8Y;1;Uni.;161,244;161,24;161,24;0;161,24;0;0;161,24;161,24;;
Fatura-Recibo;2024PL/93;;03/06/2024;SEKTOR-S s.c.;PL8141683531;Polónia;;;;;;SHIPPING-PL-0-10;;POLAND (0-10KG);1;Uni.;17;17;17;0;17;0;0;17;178,24;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024BE/243;;03/06/2024;Bourosain ilies;BE999999990;Bélgica;;;Transferência Bancária;228,61;---;;;;;;;;188,93;0;188,93;39,68;0;228,61;6402,52;Boulevard du jubilet 160 0456019155;
Fatura-Recibo;2024BE/243;;03/06/2024;Bourosain ilies;BE999999990;França;;;;;;JSK-123-RD;;Admission Ramair pour Golf 6 GTI / Scirocco / Leon 2.0 TSI - Couleur : Rouge;1;Uni.;182,32231;182,32;182,32;0;182,32;38,29;0;220,61;220,61;;
Fatura-Recibo;2024BE/243;;03/06/2024;Bourosain ilies;BE999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;6,61157;6,61;6,61;0;6,61;1,39;0;8;228,61;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024BE/244;;03/06/2024;Andrea Karathanassis;BE999999990;Bélgica;;;Transferência Bancária;121,01;---;;;;;;;;100,01;0;100,01;21;0;121,01;6523,53;Mahoniestraat 6;
Fatura-Recibo;2024BE/244;;03/06/2024;Andrea Karathanassis;BE999999990;França;;;;;;BKR8EIX-4;;NGK BKR8EIX Colder Spark Plugs for VAG 2.0 TFSI / TSI Stage 2;1;Uni.;39,82645;39,83;39,83;0;39,83;8,36;0;48,19;48,19;;
Fatura-Recibo;2024BE/244;;03/06/2024;Andrea Karathanassis;BE999999990;França;;;;;;CTS-AF-270;;CTS Turbo Air Filter for CTS-IT-270R Intakes;1;Uni.;43,79339;43,79;43,79;0;43,79;9,2;0;52,99;101,18;;
